image_id,image_path,scientificName,family,countryCode,year,gbif_key,image_url,weak_flowering,flowering,has_bud,has_fruit,usable,notes
HERB_0002,sample_images/HERB_0002.jpg,Phaseolus lathyroides L.,Fabaceae,ID,2021,3969584725,https://web.corral.tacc.utexas.edu/brit/BRIT/BRIT0620000/BRIT620768.jpg,FALSE,NA,NA,NA,NA,NA
HERB_0003,sample_images/HERB_0003.jpg,Elatostema platyphyllum Wedd.,Urticaceae,VN,2024,5895915527,https://plant.depo.msu.ru/open/public/item/MW1048455/img/0.jpg?gbif,FALSE,NA,NA,NA,NA,NA
HERB_0004,sample_images/HERB_0004.jpg,Ixora javanica (Blume) DC.,Rubiaceae,VN,2024,6196924951,https://dbs.kaum.kagoshima-u.ac.jp/musedb/s_plant/picture/KAG188596/KAG188596.jpg,FALSE,NA,NA,NA,NA,NA
HERB_0005,sample_images/HERB_0005.jpg,Litsea lancifolia (Roxb. ex Nees),Lauraceae,LA,2024,6196924843,https://dbs.kaum.kagoshima-u.ac.jp/musedb/s_plant/picture/KAG187448/KAG187448.jpg,FALSE,NA,NA,NA,NA,NA
HERB_0007,sample_images/HERB_0007.jpg,Macroptilium lathyroides (L.) Urb.,Fabaceae,SG,2020,5058347825,https://d2jcv3kl45hlgi.cloudfront.net/0dd2acf53e3c9153c518226616509af1.jpg,FALSE,NA,NA,NA,NA,NA
HERB_0009,sample_images/HERB_0009.jpg,Heptapleurum simplicifolium (Merr.) G.M.Plunkett & Lowry,Araliaceae,PH,2024,5833058934,https://web.corral.tacc.utexas.edu/brit/BRIT/BRIT1149000/BRIT1149189.jpg,FALSE,NA,NA,NA,NA,NA
HERB_0011,sample_images/HERB_0011.jpg,Monoon simiarum (Buch.-Ham. ex Hook.f. & Thomson) B.Xue & R.M.K.Saunders,Annonaceae,VN,2024,6196929201,https://dbs.kaum.kagoshima-u.ac.jp/musedb/s_plant/picture/KAG188590/KAG188590.jpg,FALSE,NA,NA,NA,NA,NA
HERB_0012,sample_images/HERB_0012.jpg,Byttneria angulata Hassk.,Malvaceae,TL,2015,2515140828,https://medialib.naturalis.nl/file/id/L.3978120/format/large,FALSE,NA,NA,NA,NA,NA
HERB_0016,sample_images/HERB_0016.jpg,Broussonetia papyrifera (L.) L'Hér. ex Vent.,Moraceae,ID,2019,5841176154,https://brmas-media.s3-ap-northeast-1.amazonaws.com/hast/specimen/S_145383-m.jpg,FALSE,NA,NA,NA,NA,NA
HERB_0017,sample_images/HERB_0017.jpg,Indigofera spicata Forssk.,Fabaceae,SG,2020,5276398444,https://d2jcv3kl45hlgi.cloudfront.net/8299c29566a952e86ef40ae2b978ae7a.jpg,FALSE,NA,NA,NA,NA,NA
HERB_0020,sample_images/HERB_0020.jpg,Teijsmanniodendron unifoliolatum (Merr.) Moldenke,Lamiaceae,BN,2019,4608025528,https://d2jcv3kl45hlgi.cloudfront.net/44db1ce906575679521fbd1b009f03b8.jpg,FALSE,NA,NA,NA,NA,NA
HERB_0024,sample_images/HERB_0024.jpg,Neptunia plena (L.) Benth.,Fabaceae,BN,2019,4938750003,https://d2jcv3kl45hlgi.cloudfront.net/2dfa054c5cbc50c23a1f3915312929c6.jpg,FALSE,NA,NA,NA,NA,NA
HERB_0026,sample_images/HERB_0026.jpg,Mallotus decipiens Müll.Arg.,Euphorbiaceae,LA,2024,6196923915,https://dbs.kaum.kagoshima-u.ac.jp/musedb/s_plant/picture/KAG187521/KAG187521.jpg,FALSE,NA,NA,NA,NA,NA
HERB_0028,sample_images/HERB_0028.jpg,Morus alba L.,Moraceae,TL,2017,5207103331,https://medialib.naturalis.nl/file/id/L.4578455/format/large,FALSE,NA,NA,NA,NA,NA
HERB_0031,sample_images/HERB_0031.jpg,Codiaeum variegatum var. moluccanum (Decne.) Müll.Arg.,Euphorbiaceae,TL,2015,2515139402,https://medialib.naturalis.nl/file/id/L.3978102/format/large,FALSE,NA,NA,NA,NA,NA
HERB_0035,sample_images/HERB_0035.jpg,Morinda angustifolia Roxb.,Rubiaceae,LA,2024,6196923447,https://dbs.kaum.kagoshima-u.ac.jp/musedb/s_plant/picture/KAG187236/KAG187236.jpg,FALSE,NA,NA,NA,NA,NA
HERB_0036,sample_images/HERB_0036.jpg,Volkameria inermis L.,Lamiaceae,VN,2024,6196929358,https://dbs.kaum.kagoshima-u.ac.jp/musedb/s_plant/picture/KAG188628/KAG188628.jpg,FALSE,NA,NA,NA,NA,NA
HERB_0037,sample_images/HERB_0037.jpg,Embelia nutans Wall.,Primulaceae,MM,2019,4519467661,https://d2jcv3kl45hlgi.cloudfront.net/d36fdfe693cc3d6b06292f56969c0931.jpg,FALSE,NA,NA,NA,NA,NA
HERB_0041,sample_images/HERB_0041.jpg,Myristica borneensis Warb.,Myristicaceae,BN,2019,5895916388,https://plant.depo.msu.ru/open/public/item/MW1048524/img/0.jpg?gbif,FALSE,NA,NA,NA,NA,NA
HERB_0042,sample_images/HERB_0042.jpg,Memecylon edule Roxb.,Melastomataceae,TH,2023,6450205307,https://d2jcv3kl45hlgi.cloudfront.net/f2ee2b2c0c6760dca91da4efaf2f557b.jpg,FALSE,NA,NA,NA,NA,NA
HERB_0045,sample_images/HERB_0045.jpg,Diospyros pilosiuscula G.Don,Ebenaceae,TH,2022,4858955209,https://d2jcv3kl45hlgi.cloudfront.net/a73e3fa960bb7e5e0f80aae448823f27.jpg,FALSE,NA,NA,NA,NA,NA
HERB_0048,sample_images/HERB_0048.jpg,Callerya cinerea (Benth.) Schot,Fabaceae,TH,2023,6367088301,https://d2jcv3kl45hlgi.cloudfront.net/3284cb620d5bafabecc2561fc01b4e60.jpg,FALSE,NA,NA,NA,NA,NA
HERB_0049,sample_images/HERB_0049.jpg,Phyllanthus microcarpus (Benth.) Müll.Arg.,Phyllanthaceae,LA,2024,6196923456,https://dbs.kaum.kagoshima-u.ac.jp/musedb/s_plant/picture/KAG187283/KAG187283.jpg,FALSE,NA,NA,NA,NA,NA
HERB_0050,sample_images/HERB_0050.jpg,Alangium kayuniga K.M.Wong,Cornaceae,BN,2019,4928996801,https://d2jcv3kl45hlgi.cloudfront.net/3e1b22f6b1ba25d94050d1794c0df0da.jpg,FALSE,NA,NA,NA,NA,NA
HERB_0052,sample_images/HERB_0052.jpg,Grewia retusifolia Kurz,Malvaceae,TL,2019,5207099334,https://medialib.naturalis.nl/file/id/L.4578456/format/large,FALSE,NA,NA,NA,NA,NA
HERB_0053,sample_images/HERB_0053.jpg,"Syzygium coarctatum (Blume) Byng, N.Snow & Peter G.Wilson",Myrtaceae,LA,2024,6196923636,https://dbs.kaum.kagoshima-u.ac.jp/musedb/s_plant/picture/KAG187176/KAG187176.jpg,FALSE,NA,NA,NA,NA,NA
HERB_0054,sample_images/HERB_0054.jpg,"Haplanthus laxiflorus (Blume) Gnanasek., G.V.S.Murthy & Y.F.Deng",Acanthaceae,TH,2023,6450154308,https://d2jcv3kl45hlgi.cloudfront.net/1f081c2a0621453a007a8ba551b4e234.jpg,FALSE,NA,NA,NA,NA,NA
HERB_0056,sample_images/HERB_0056.jpg,Combretum pilosum Roxb. ex G.Don,Combretaceae,LA,2024,6196925434,https://dbs.kaum.kagoshima-u.ac.jp/musedb/s_plant/picture/KAG187628/KAG187628.jpg,FALSE,NA,NA,NA,NA,NA
HERB_0059,sample_images/HERB_0059.jpg,Combretum indicum (L.) DeFilipps,Combretaceae,VN,2024,6196927995,https://dbs.kaum.kagoshima-u.ac.jp/musedb/s_plant/picture/KAG188670/KAG188670.jpg,FALSE,NA,NA,NA,NA,NA
HERB_0060,sample_images/HERB_0060.jpg,Xylacanthus laoticus Aver. & K.S.Nguyen,Acanthaceae,LA,2024,6196925179,https://dbs.kaum.kagoshima-u.ac.jp/musedb/s_plant/picture/KAG187616/KAG187616.jpg,FALSE,NA,NA,NA,NA,NA
HERB_0064,sample_images/HERB_0064.jpg,Cnestis palala (Lour.) Merr.,Connaraceae,SG,2021,4459006791,https://medialib.naturalis.nl/file/id/L.4482923/format/large,FALSE,NA,NA,NA,NA,NA
